Index,Component,Qty,Distributor,Distributor Part Number,Manufacturer,Manufacturer_Part_Number
,----------------------------------,,,,,
1,2 Pins connector,12,Digikey,609-3797-ND,FCI,20020004-D021B01LF
--------------------------- If not last card on stack ---------------------------,,,,,,
2,Backplane connector 1.5cm spacer,1,Samtec,TW-25-04-G-D-410-072,Samtec,TW-25-04-G-D-410-072
3,HEX STANDOFF M3 BRASS 15MM,4,Digikey,952-1506-ND,Harwin Inc,R30-3001502
--------------------------- If last card on the stack ---------------------------,,,,,,
4,MACHINE SCREW PAN PHILLIPS M3,4,Digikey,335-1149-ND,APM Hexseal,RM3X8MM 2701
