"Ref Name","Component","Center X","Center Y","Rotation"
"R107","Resistor","4702.6","3048.9","0.00"
"R108","Resistor","4701.3","2804.3","0.00"
"R109","Resistor","4701.3","2559.7","0.00"
"R110","Resistor","4701.3","2317.6","0.00"
"R111","Resistor","4705.0","2070.0","0.00"
"R112","Resistor","4702.6","1828.4","0.00"
"R113","Resistor","4702.6","1583.8","0.00"
"R114","Resistor","4705.0","1340.0","0.00"
"R115","Resistor","5375.0","1750.0","180.00"
"U18","SI8261ACC-C-IS","3497.0","3089.8","270.00"
"U19","SI8261ACC-C-IS","3497.0","2847.7","270.00"
"U20","SI8261ACC-C-IS","3497.0","2606.8","270.00"
"U21","SI8261ACC-C-IS","3497.0","2364.7","270.00"
"U22","SI8261ACC-C-IS","3497.0","2121.3","270.00"
"U23","SI8261ACC-C-IS","3497.0","1878.0","270.00"
"U24","SI8261ACC-C-IS","3497.0","1635.8","270.00"
"U25","SI8261ACC-C-IS","3497.0","1391.2","270.00"
"U26","SI8261ACC-C-IS","4524.1","3107.9","90.00"
"U27","SI8261ACC-C-IS","4524.1","2862.1","90.00"
"U28","SI8261ACC-C-IS","4524.1","2617.5","90.00"
"U29","SI8261ACC-C-IS","4524.1","2375.3","90.00"
"U30","SI8261ACC-C-IS","4524.1","2129.5","90.00"
"U31","SI8261ACC-C-IS","4524.1","1886.1","90.00"
"U32","SI8261ACC-C-IS","4524.1","1641.5","90.00"
"U33","SI8261ACC-C-IS","4524.1","1396.9","90.00"
"J2","Tio BOT backplane connector","5625.4","1737.0","90.00"
"J7","Tio TOP backplane connector","5625.4","1737.0","90.00"
-------------------------------------------------------
